Team,Year,State,Stadium,Capacity
SDP,2009,California,Petco Park,42691
SDP,2010,California,Petco Park,42691
SDP,2011,California,Petco Park,42691
SDP,2012,California,Petco Park,42691
SDP,2013,California,Petco Park,42524
SDP,2014,California,Petco Park,42302
SDP,2015,California,Petco Park,41164
SDP,2016,California,Petco Park,40162
SEA,1990,Washington,Kingdome,58850
SEA,1991,Washington,Kingdome,57748
SEA,1992,Washington,Kingdome,57748
SEA,1993,Washington,Kingdome,57748
SEA,1994,Washington,Kingdome,59166
SEA,1995,Washington,Kingdome,59166
SEA,1996,Washington,Kingdome,59166
SEA,1997,Washington,Kingdome,59166
SEA,1998,Washington,Kingdome,59166
SEA,1999,Washington,Kingdome,59166
SEA,2000,Washington,Safeco Field,47116
SEA,2001,Washington,Safeco Field,47116
SEA,2002,Washington,Safeco Field,47116
SEA,2003,Washington,Safeco Field,47116
SEA,2004,Washington,Safeco Field,47447
SEA,2005,Washington,Safeco Field,47447
SEA,2006,Washington,Safeco Field,47447
SEA,2007,Washington,Safeco Field,47447
SEA,2008,Washington,Safeco Field,47447
SEA,2009,Washington,Safeco Field,47878
SEA,2010,Washington,Safeco Field,47878
SEA,2011,Washington,Safeco Field,47878
SEA,2012,Washington,Safeco Field,47860
SEA,2013,Washington,Safeco Field,47476
SEA,2014,Washington,Safeco Field,47476
SEA,2015,Washington,Safeco Field,47574
SEA,2016,Washington,Safeco Field,47943
SFG,1990,California,Candlestick Park,62000
SFG,1991,California,Candlestick Park,62000
SFG,1992,California,Candlestick Park,62000
SFG,1993,California,Candlestick Park,58000
SFG,1994,California,Candlestick Park,58000
SFG,1995,California,Candlestick Park,58000
SFG,1996,California,Candlestick Park,58000
SFG,1997,California,Candlestick Park,58000
SFG,1998,California,Candlestick Park,58000
SFG,1999,California,Candlestick Park,58000
SFG,2000,California,AT&T Park,40930
SFG,2001,California,AT&T Park,41059
SFG,2002,California,AT&T Park,41059
SFG,2003,California,AT&T Park,41503
SFG,2004,California,AT&T Park,41503
SFG,2005,California,AT&T Park,41584
SFG,2006,California,AT&T Park,41606
SFG,2007,California,AT&T Park,41915
SFG,2008,California,AT&T Park,41915
SFG,2009,California,AT&T Park,41915
SFG,2010,California,AT&T Park,41915
SFG,2011,California,AT&T Park,41915
SFG,2012,California,AT&T Park,41915
SFG,2013,California,AT&T Park,41915
SFG,2014,California,AT&T Park,41915
SFG,2015,California,AT&T Park,41915
SFG,2016,California,AT&T Park,41915
STL,1990,Missouri,Busch Memorial Stadium,54727
STL,1991,Missouri,Busch Memorial Stadium,54727
STL,1992,Missouri,Busch Memorial Stadium,54727
STL,1993,Missouri,Busch Memorial Stadium,54727
STL,1994,Missouri,Busch Memorial Stadium,54727
STL,1995,Missouri,Busch Memorial Stadium,57078
STL,1996,Missouri,Busch Memorial Stadium,57673
STL,1997,Missouri,Busch Memorial Stadium,49676
STL,1998,Missouri,Busch Memorial Stadium,49676
STL,1999,Missouri,Busch Memorial Stadium,49676
STL,2000,Missouri,Busch Memorial Stadium,49676
STL,2001,Missouri,Busch Memorial Stadium,50354
STL,2002,Missouri,Busch Memorial Stadium,50354
STL,2003,Missouri,Busch Memorial Stadium,50354
STL,2004,Missouri,Busch Memorial Stadium,50345
STL,2005,Missouri,Busch Memorial Stadium,50345
STL,2006,Missouri,Busch Stadium,43975
STL,2007,Missouri,Busch Stadium,43975
STL,2008,Missouri,Busch Stadium,43975
STL,2009,Missouri,Busch Stadium,43975
STL,2010,Missouri,Busch Stadium,43975
STL,2011,Missouri,Busch Stadium,43975
STL,2012,Missouri,Busch Stadium,43975
STL,2013,Missouri,Busch Stadium,43975
STL,2014,Missouri,Busch Stadium,45399
STL,2015,Missouri,Busch Stadium,45399
STL,2016,Missouri,Busch Stadium,45538
TBD,1998,Florida,Tropicana,45369
TBD,1999,Florida,Tropicana,44027
TBD,2000,Florida,Tropicana,44445
TBD,2001,Florida,Tropicana,44445
TBD,2002,Florida,Tropicana,43772
TBD,2003,Florida,Tropicana,43772
TBD,2004,Florida,Tropicana,43772
TBD,2005,Florida,Tropicana,43772
TBD,2006,Florida,Tropicana,43772
TBD,2007,Florida,Tropicana,38437
TBR,2008,Florida,Tropicana,36048
TBR,2009,Florida,Tropicana,36973
TBR,2010,Florida,Tropicana,36973
TBR,2011,Florida,Tropicana,34078
TBR,2012,Florida,Tropicana,34078
TBR,2013,Florida,Tropicana,34078
TBR,2014,Florida,Tropicana,31042
TBR,2015,Florida,Tropicana,31042
TBR,2016,Florida,Tropicana,31042
TEX,1990,Texas,Arlington Stadium,43508
TEX,1991,Texas,Arlington Stadium,43521
TEX,1992,Texas,Arlington Stadium,43521
TEX,1993,Texas,Arlington Stadium,43521
TEX,1994,Texas,Globe Life Park,49292
TEX,1995,Texas,Globe Life Park,49292
TEX,1996,Texas,Globe Life Park,49178
TEX,1997,Texas,Globe Life Park,49166
TEX,1998,Texas,Globe Life Park,49166
TEX,1999,Texas,Globe Life Park,49166
TEX,2000,Texas,Globe Life Park,49115
TEX,2001,Texas,Globe Life Park,49115
TEX,2002,Texas,Globe Life Park,49115
TEX,2003,Texas,Globe Life Park,49115
TEX,2004,Texas,Globe Life Park,49115
TEX,2005,Texas,Globe Life Park,49115
TEX,2006,Texas,Globe Life Park,48911
TEX,2007,Texas,Globe Life Park,48911
TEX,2008,Texas,Globe Life Park,48911
TEX,2009,Texas,Globe Life Park,49170
TEX,2010,Texas,Globe Life Park,49170
TEX,2011,Texas,Globe Life Park,49170
TEX,2012,Texas,Globe Life Park,48194
TEX,2013,Texas,Globe Life Park,48114
TEX,2014,Texas,Globe Life Park,48114
TEX,2015,Texas,Globe Life Park,48114
TEX,2016,Texas,Globe Life Park,48114
TOR,1990,Canada,Rogers Centre,50516
TOR,1991,Canada,Rogers Centre,50516
TOR,1992,Canada,Rogers Centre,50516
TOR,1993,Canada,Rogers Centre,50516
TOR,1994,Canada,Rogers Centre,50516
TOR,1995,Canada,Rogers Centre,50516
TOR,1996,Canada,Rogers Centre,50516
TOR,1997,Canada,Rogers Centre,50516
TOR,1998,Canada,Rogers Centre,50516
TOR,1999,Canada,Rogers Centre,45100
TOR,2000,Canada,Rogers Centre,45100
TOR,2001,Canada,Rogers Centre,45100
TOR,2002,Canada,Rogers Centre,45100
TOR,2003,Canada,Rogers Centre,50516
TOR,2004,Canada,Rogers Centre,50516
TOR,2005,Canada,Rogers Centre,50598
TOR,2006,Canada,Rogers Centre,50598
TOR,2007,Canada,Rogers Centre,48900
TOR,2008,Canada,Rogers Centre,49539
TOR,2009,Canada,Rogers Centre,49539
TOR,2010,Canada,Rogers Centre,49539
TOR,2011,Canada,Rogers Centre,49260
TOR,2012,Canada,Rogers Centre,49260
TOR,2013,Canada,Rogers Centre,49282
TOR,2014,Canada,Rogers Centre,49282
TOR,2015,Canada,Rogers Centre,49282
TOR,2016,Canada,Rogers Centre,49282
WSN,2005,Washington DC,RFK Memorial Stadium,45596
WSN,2006,Washington DC,RFK Memorial Stadium,45596
WSN,2007,Washington DC,RFK Memorial Stadium,45596
WSN,2008,Washington DC,Nationals Park,41888
WSN,2009,Washington DC,Nationals Park,41888
WSN,2010,Washington DC,Nationals Park,41546
WSN,2011,Washington DC,Nationals Park,41546
WSN,2012,Washington DC,Nationals Park,41487
WSN,2013,Washington DC,Nationals Park,41418
WSN,2014,Washington DC,Nationals Park,41418
WSN,2015,Washington DC,Nationals Park,41418
WSN,2016,Washington DC,Nationals Park,41313
