year,team,team_name,division,G,W,L,ties,win_pct,p_win_pct,finish,gb,playoffs,R,RA,attendance,bat_age,pitch_age,num_bat,num_pitch,top_player,managers
2002,CAL,Anaheim Angels,AL West,162,99,63,0,.611,.625,2nd of 4,4.0,Won WS (4-3),851,644,"2,305,547",28.5,30.2,40,18,D.Erstad (6.4),M.Scioscia (99-63)
2001,CAL,Anaheim Angels,AL West,162,75,87,0,.463,.475,3rd of 4,41.0,,691,730,"2,000,919",28.0,28.9,38,18,T.Glaus (5.2),M.Scioscia (75-87)
2000,CAL,Anaheim Angels,AL West,162,82,80,0,.506,.497,3rd of 4,9.5,,864,869,"2,066,982",27.7,28.9,45,25,D.Erstad (8.3),M.Scioscia (82-80)
1999,CAL,Anaheim Angels,AL West,162,70,92,0,.432,.432,4th of 4,25.0,,711,826,"2,253,123",28.8,31.5,45,20,R.Velarde (4.2),T.Collins (51-82) and J.Maddon (19-10)
1998,CAL,Anaheim Angels,AL West,162,85,77,0,.525,.502,2nd of 4,3.0,,787,783,"2,519,280",28.7,29.8,45,19,C.Finley (7.2),T.Collins (85-77)
1997,CAL,Anaheim Angels,AL West,162,84,78,0,.519,.520,2nd of 4,6.0,,829,794,"1,767,330",29.7,28.3,43,21,T.Salmon (4.9),T.Collins (84-78)
1996,CAL,California Angels,AL West,161,70,91,0,.435,.404,4th of 4,19.5,,762,943,"1,820,521",29.3,29.1,52,29,J.Edmonds (5.0),"M.Lachemann (52-59), J.McNamara (10-18) and J.Maddon (8-14)"
1995,CAL,California Angels,AL West,145,78,67,0,.538,.563,2nd of 4,1.0,,801,697,"1,748,680",29.0,30.7,45,20,T.Salmon (6.6),M.Lachemann (78-67)
1994,CAL,California Angels,AL West,115,47,68,0,.409,.412,4th of 4,5.5,,543,660,"1,512,622",27.8,28.9,37,18,C.Finley (3.5),B.Rodgers (16-24) and M.Lachemann (31-44)
1993,CAL,California Angels,AL West,162,71,91,0,.438,.446,5th of 7,23.0,,684,770,"2,057,460",27.3,28.8,46,24,M.Langston (8.6),B.Rodgers (71-91)
1992,CAL,California Angels,AL West,162,72,90,0,.444,.433,5th of 7,24.0,,579,671,"2,065,444",28.1,28.8,41,16,J.Abbott (5.8),B.Rodgers (33-40) and J.Wathan (39-50)
1991,CAL,California Angels,AL West,162,81,81,0,.500,.503,7th of 7,14.0,,653,649,"2,416,236",30.8,27.9,42,17,J.Abbott (7.6),D.Rader (61-63) and B.Rodgers (20-18)
1990,CAL,California Angels,AL West,162,80,82,0,.494,.490,4th of 7,23.0,,690,706,"2,555,688",29.8,28.1,43,20,C.Finley (7.7),D.Rader (80-82)
2016,CHC,Chicago Cubs,NL Central,162,103,58,1,.640,.665,1st of 5,--,Won WS (4-3),808,556,"3,232,420",27.5,29.9,45,26,K.Bryant (7.7),J.Maddon (103-58)
2015,CHC,Chicago Cubs,NL Central,162,97,65,0,.599,.557,3rd of 5,3.0,Lost NLCS (4-0),689,608,"2,919,122",26.9,29.3,50,29,J.Arrieta (8.6),J.Maddon (97-65)
2014,CHC,Chicago Cubs,NL Central,162,73,89,0,.451,.436,5th of 5,17.0,,614,707,"2,652,113",26.8,28.0,48,27,J.Arrieta (5.6),R.Renteria (73-89)
2013,CHC,Chicago Cubs,NL Central,162,66,96,0,.407,.439,5th of 5,31.0,,602,689,"2,642,682",27.9,28.7,56,31,T.Wood (4.9),D.Sveum (66-96)
2012,CHC,Chicago Cubs,NL Central,162,61,101,0,.377,.403,5th of 6,36.0,,613,759,"2,882,756",27.8,27.9,53,30,D.Barney (4.6),D.Sveum (61-101)
2011,CHC,Chicago Cubs,NL Central,162,71,91,0,.438,.434,5th of 6,25.0,,654,756,"3,017,966",29.3,29.4,42,22,S.Castro (3.0),M.Quade (71-91)
2010,CHC,Chicago Cubs,NL Central,162,75,87,0,.463,.448,5th of 6,16.0,,685,767,"3,062,973",29.4,28.2,44,23,M.Byrd (3.7),L.Piniella (51-74) and M.Quade (24-13)
2009,CHC,Chicago Cubs,NL Central,161,83,78,0,.516,.523,2nd of 6,7.5,,707,672,"3,168,859",29.9,28.4,45,24,D.Lee (5.4),L.Piniella (83-78)
2008,CHC,Chicago Cubs,NL Central,161,97,64,0,.602,.609,1st of 6,--,Lost LDS (3-0),855,671,"3,300,200",30.1,28.9,42,23,R.Dempster (6.8),L.Piniella (97-64)
2007,CHC,Chicago Cubs,NL Central,162,85,77,0,.525,.539,1st of 6,--,Lost LDS (3-0),752,690,"3,252,462",29.3,28.4,47,22,A.Ramirez (5.2),L.Piniella (85-77)
2006,CHC,Chicago Cubs,NL Central,162,66,96,0,.407,.431,6th of 6,17.5,,716,834,"3,123,215",28.6,28.0,46,23,C.Zambrano (5.8),D.Baker (66-96)
2005,CHC,Chicago Cubs,NL Central,162,79,83,0,.488,.493,4th of 6,21.0,,703,714,"3,099,992",29.7,28.2,46,22,D.Lee (7.7),D.Baker (79-83)
2004,CHC,Chicago Cubs,NL Central,162,89,73,0,.549,.578,3rd of 6,16.0,,789,665,"3,170,154",30.1,29.1,43,19,C.Zambrano (7.3),D.Baker (89-73)
2003,CHC,Chicago Cubs,NL Central,162,88,74,0,.543,.527,1st of 6,--,Lost NLCS (4-3),724,683,"2,962,630",31.3,28.2,42,17,M.Prior (8.0),D.Baker (88-74)
2002,CHC,Chicago Cubs,NL Central,162,67,95,0,.414,.467,5th of 6,30.0,,706,759,"2,693,096",30.2,27.6,44,22,S.Sosa (5.7),"D.Baylor (34-49), R.Lachemann (0-1) and B.Kimm (33-45)"
2001,CHC,Chicago Cubs,NL Central,162,88,74,0,.543,.547,3rd of 6,5.0,,777,701,"2,779,465",30.7,29.8,43,20,S.Sosa (10.3),D.Baylor (88-74)
2000,CHC,Chicago Cubs,NL Central,162,65,97,0,.401,.424,6th of 6,30.0,,764,904,"2,789,511",30.8,28.4,51,24,S.Sosa (5.7),D.Baylor (65-97)
1999,CHC,Chicago Cubs,NL Central,162,67,95,0,.414,.406,6th of 6,30.0,,747,920,"2,813,854",31.2,28.8,47,25,S.Sosa (4.8),J.Riggleman (67-95)
1998,CHC,Chicago Cubs,NL Central,163,90,73,0,.552,.522,2nd of 6,12.5,Lost LDS (3-0),831,792,"2,623,194",30.1,28.8,47,24,S.Sosa (6.4),J.Riggleman (90-73)
1997,CHC,Chicago Cubs,NL Central,162,68,94,0,.420,.455,5th of 5,16.0,,687,759,"2,190,308",29.4,28.2,42,21,M.Grace (4.2),J.Riggleman (68-94)
1996,CHC,Chicago Cubs,NL Central,162,76,86,0,.469,.501,4th of 5,12.0,,772,771,"2,219,110",29.0,28.3,41,17,S.Sosa (5.4),J.Riggleman (76-86)
1995,CHC,Chicago Cubs,NL Central,144,73,71,0,.507,.515,3rd of 5,12.0,,693,671,"1,918,265",28.3,27.8,43,21,S.Sosa (5.3),J.Riggleman (73-71)
1994,CHC,Chicago Cubs,NL Central,113,49,64,0,.434,.457,5th of 5,16.5,,500,549,"1,845,208",28.2,28.3,35,18,S.Sosa (3.8),T.Trebelhorn (49-64)
1993,CHC,Chicago Cubs,NL East,163,84,78,1,.519,.499,4th of 7,13.0,,738,739,"2,653,763",28.0,28.3,38,17,R.Wilkins (6.6),J.Lefebvre (84-78)
1992,CHC,Chicago Cubs,NL East,162,78,84,0,.481,.477,4th of 6,18.0,,593,624,"2,126,720",28.3,27.2,41,17,G.Maddux (9.4),J.Lefebvre (78-84)
1991,CHC,Chicago Cubs,NL East,160,77,83,0,.481,.475,4th of 6,20.0,,695,734,"2,314,250",28.9,27.5,39,19,R.Sandberg (7.0),"D.Zimmer (18-19), J.Altobelli (0-1) and J.Essian (59-63)"
1990,CHC,Chicago Cubs,NL East,162,77,85,0,.475,.448,4th of 6,18.0,,690,774,"2,243,791",28.2,26.1,39,20,R.Sandberg (7.1),D.Zimmer (77-85)
2016,CHW,Chicago White Sox,AL Central,162,78,84,0,.481,.481,4th of 5,16.5,,686,715,"1,746,293",28.3,28.6,50,28,A.Eaton (6.1),R.Ventura (78-84)
2015,CHW,Chicago White Sox,AL Central,162,76,86,0,.469,.446,4th of 5,19.0,,622,701,"1,755,810",28.2,27.8,40,24,J.Quintana (4.0),R.Ventura (76-86)
2014,CHW,Chicago White Sox,AL Central,162,73,89,0,.451,.437,4th of 5,17.0,,660,758,"1,650,821",27.7,27.4,44,26,C.Sale (6.2),R.Ventura (73-89)
2013,CHW,Chicago White Sox,AL Central,162,63,99,0,.389,.414,5th of 5,30.0,,598,723,"1,768,413",29.2,27.1,47,24,C.Sale (6.6),R.Ventura (63-99)
2012,CHW,Chicago White Sox,AL Central,162,85,77,0,.525,.546,2nd of 5,3.0,,748,676,"1,965,955",29.9,27.5,45,25,C.Sale (5.7),R.Ventura (85-77)
2011,CHW,Chicago White Sox,AL Central,162,79,83,0,.488,.465,3rd of 5,16.0,,654,706,"2,001,117",29.9,28.5,42,22,M.Buehrle (4.2),O.Guillen (78-82) and D.Cooper (1-1)
2010,CHW,Chicago White Sox,AL Central,162,88,74,0,.543,.530,2nd of 5,6.0,,752,704,"2,194,378",30.6,29.0,40,20,A.Ramirez (5.6),O.Guillen (88-74)
2009,CHW,Chicago White Sox,AL Central,162,79,83,0,.488,.495,3rd of 5,7.5,,724,732,"2,284,163",29.8,29.5,45,24,M.Buehrle (5.5),O.Guillen (79-83)
2008,CHW,Chicago White Sox,AL Central,163,89,74,0,.546,.549,1st of 5,--,Lost LDS (3-1),811,729,"2,500,648",30.5,28.3,39,19,J.Danks (6.4),O.Guillen (89-74)
2007,CHW,Chicago White Sox,AL Central,162,72,90,0,.444,.413,4th of 5,24.0,,693,839,"2,684,395",29.6,27.7,43,21,J.Vazquez (6.1),O.Guillen (72-90)
2006,CHW,Chicago White Sox,AL Central,162,90,72,0,.556,.541,3rd of 5,6.0,,868,794,"2,957,414",29.6,27.9,37,18,J.Thome (4.9),O.Guillen (90-72)
2005,CHW,Chicago White Sox,AL Central,162,99,63,0,.611,.563,1st of 5,--,Won WS (4-0),741,645,"2,342,833",29.3,29.3,38,17,M.Buehrle (4.8),O.Guillen (99-63)
2004,CHW,Chicago White Sox,AL Central,162,83,79,0,.512,.518,2nd of 5,9.0,,865,831,"1,930,537",28.6,28.2,42,22,A.Rowand (5.6),O.Guillen (83-79)
2003,CHW,Chicago White Sox,AL Central,162,86,76,0,.531,.546,2nd of 5,4.0,,791,715,"1,939,524",29.3,27.9,40,20,E.Loaiza (7.2),J.Manuel (86-76)
2002,CHW,Chicago White Sox,AL Central,162,81,81,0,.500,.532,2nd of 5,13.5,,856,798,"1,676,911",28.8,25.8,35,16,M.Ordonez (5.1),J.Manuel (81-81)
2001,CHW,Chicago White Sox,AL Central,162,83,79,0,.512,.502,3rd of 5,8.0,,798,795,"1,766,172",28.4,26.2,42,21,M.Buehrle (6.0),J.Manuel (83-79)
2000,CHW,Chicago White Sox,AL Central,162,95,67,0,.586,.570,1st of 5,--,Lost LDS (3-0),978,839,"1,947,799",27.5,26.5,42,22,F.Thomas (6.0),J.Manuel (95-67)
1999,CHW,Chicago White Sox,AL Central,162,75,86,1,.466,.448,2nd of 5,21.5,,777,870,"1,338,851",25.8,26.4,40,21,M.Ordonez (5.8),J.Manuel (75-86)
1998,CHW,Chicago White Sox,AL Central,163,80,82,1,.494,.464,2nd of 5,9.0,,861,931,"1,391,146",27.3,26.4,39,20,A.Belle (7.1),J.Manuel (80-82)
1997,CHW,Chicago White Sox,AL Central,161,80,81,0,.497,.469,2nd of 5,6.0,,779,833,"1,864,782",29.3,29.4,45,22,F.Thomas (7.3),T.Bevington (80-81)
1996,CHW,Chicago White Sox,AL Central,162,85,77,0,.525,.556,2nd of 5,14.5,,898,794,"1,676,403",30.5,27.8,44,22,A.Fernandez (6.4),T.Bevington (85-77)
1995,CHW,Chicago White Sox,AL Central,145,68,76,1,.472,.498,3rd of 5,32.0,,755,758,"1,609,773",29.5,27.6,46,26,F.Thomas (5.3),G.Lamont (11-20) and T.Bevington (57-56)
1994,CHW,Chicago White Sox,AL Central,113,67,46,0,.593,.608,1st of 5,--,,633,498,"1,697,398",29.9,28.2,34,14,F.Thomas (6.3),G.Lamont (67-46)
1993,CHW,Chicago White Sox,AL West,162,94,68,0,.580,.571,1st of 7,--,Lost ALCS (4-2),776,664,"2,581,091",28.9,26.6,43,20,F.Thomas (6.2),G.Lamont (94-68)
1992,CHW,Chicago White Sox,AL West,162,86,76,0,.531,.531,3rd of 7,10.0,,738,690,"2,681,156",28.7,28.9,35,13,F.Thomas (6.9),G.Lamont (86-76)
1991,CHW,Chicago White Sox,AL West,162,87,75,0,.537,.549,2nd of 7,8.0,,758,681,"2,934,154",27.7,26.7,38,17,F.Thomas (6.9),J.Torborg (87-75)
1990,CHW,Chicago White Sox,AL West,162,94,68,0,.580,.534,2nd of 7,9.0,,682,633,"2,002,357",27.5,24.9,37,17,C.Fisk (4.8),J.Torborg (94-68)
2016,CIN,Cincinnati Reds,NL Central,162,68,94,0,.420,.420,5th of 5,35.5,,716,854,"1,894,085",27.8,27.1,52,32,J.Votto (4.0),B.Price (68-94)
2015,CIN,Cincinnati Reds,NL Central,162,64,98,0,.395,.426,5th of 5,36.0,,640,754,"2,419,506",29.5,27.3,50,28,J.Votto (7.6),B.Price (64-98)
2014,CIN,Cincinnati Reds,NL Central,162,76,86,0,.469,.487,4th of 5,14.0,,595,612,"2,476,664",29.0,28.0,45,25,J.Cueto (6.7),B.Price (76-86)
2013,CIN,Cincinnati Reds,NL Central,162,90,72,0,.556,.577,3rd of 5,7.0,Lost NLWC (1-0),698,589,"2,492,101",28.5,27.7,39,20,J.Votto (6.6),D.Baker (90-72)
2012,CIN,Cincinnati Reds,NL Central,162,97,65,0,.599,.559,1st of 6,--,Lost LDS (3-2),669,588,"2,347,251",28.8,27.1,38,17,J.Votto (5.9),D.Baker (97-65)
2011,CIN,Cincinnati Reds,NL Central,162,79,83,0,.488,.509,3rd of 6,17.0,,735,720,"2,213,588",28.6,27.7,42,21,J.Votto (6.3),D.Baker (79-83)
2010,CIN,Cincinnati Reds,NL Central,162,91,71,0,.562,.565,1st of 6,--,Lost LDS (3-0),790,685,"2,060,550",29.0,28.2,44,23,J.Votto (6.9),D.Baker (91-71)
2009,CIN,Cincinnati Reds,NL Central,162,78,84,0,.481,.467,4th of 6,13.0,,673,723,"1,747,919",27.9,29.0,46,22,J.Votto (4.8),D.Baker (78-84)
2008,CIN,Cincinnati Reds,NL Central,162,74,88,0,.457,.442,5th of 6,23.5,,704,800,"2,058,632",28.6,28.7,48,23,E.Volquez (4.5),D.Baker (74-88)
2007,CIN,Cincinnati Reds,NL Central,162,72,90,0,.444,.461,5th of 6,13.0,,783,853,"2,058,593",29.7,29.1,51,25,A.Harang (5.5),J.Narron (31-51) and P.Mackanin (41-39)
2006,CIN,Cincinnati Reds,NL Central,162,80,82,0,.494,.469,3rd of 6,3.5,,749,801,"2,134,607",29.6,29.5,54,29,B.Arroyo (7.0),J.Narron (80-82)
2005,CIN,Cincinnati Reds,NL Central,163,73,89,1,.451,.463,5th of 6,27.0,,820,889,"1,943,067",28.6,28.9,46,22,F.Lopez (4.2),D.Miley (27-43) and J.Narron (46-46)
2004,CIN,Cincinnati Reds,NL Central,162,76,86,0,.469,.414,4th of 6,29.0,,750,907,"2,287,250",28.4,28.5,44,22,A.Dunn (4.7),D.Miley (76-86)
2003,CIN,Cincinnati Reds,NL Central,162,69,93,0,.426,.390,5th of 6,19.0,,694,886,"2,355,259",27.3,28.0,57,30,J.Guillen (4.7),"B.Boone (46-58), R.Knight (1-0) and D.Miley (22-35)"
2002,CIN,Cincinnati Reds,NL Central,162,78,84,0,.481,.460,3rd of 6,19.0,,709,774,"1,855,787",27.7,28.7,43,21,E.Dessens (4.2),B.Boone (78-84)
2001,CIN,Cincinnati Reds,NL Central,162,66,96,0,.407,.434,5th of 6,27.0,,735,850,"1,879,757",28.0,27.4,50,25,E.Dessens (4.5),B.Boone (66-96)
2000,CIN,Cincinnati Reds,NL Central,163,85,77,1,.525,.534,2nd of 6,10.0,,825,765,"2,577,371",29.2,28.5,45,21,K.Griffey (5.5),J.McKeon (85-77)
1999,CIN,Cincinnati Reds,NL Central,163,96,67,0,.589,.589,2nd of 6,1.5,,865,711,"2,061,222",28.3,28.0,35,17,M.Cameron (5.5),J.McKeon (96-67)
1998,CIN,Cincinnati Reds,NL Central,162,77,85,0,.475,.494,4th of 6,25.0,,750,760,"1,793,649",27.5,28.0,47,24,B.Larkin (5.7),J.McKeon (77-85)
1997,CIN,Cincinnati Reds,NL Central,162,76,86,0,.469,.427,3rd of 5,8.0,,651,764,"1,785,788",28.2,29.6,50,25,J.Shaw (3.6),R.Knight (43-56) and J.McKeon (33-30)
1996,CIN,Cincinnati Reds,NL Central,162,81,81,0,.500,.503,3rd of 5,7.0,,778,773,"1,861,428",29.3,29.2,48,24,B.Larkin (7.2),R.Knight (81-81)
1995,CIN,Cincinnati Reds,NL Central,144,85,59,0,.590,.582,1st of 5,--,Lost NLCS (4-0),747,623,"1,837,649",28.4,28.3,47,24,R.Sanders (6.6),D.Johnson (85-59)
1994,CIN,Cincinnati Reds,NL Central,115,66,48,1,.579,.598,1st of 5,--,,609,490,"1,897,681",28.5,27.2,35,16,B.Larkin (3.9),D.Johnson (66-48)
1993,CIN,Cincinnati Reds,NL West,162,73,89,0,.451,.462,5th of 7,31.0,,722,785,"2,453,232",28.4,27.9,51,24,J.Rijo (10.1),T.Perez (20-24) and D.Johnson (53-65)
1992,CIN,Cincinnati Reds,NL West,162,90,72,0,.556,.537,2nd of 6,8.0,,660,609,"2,315,946",27.9,28.1,42,17,J.Rijo (6.0),L.Piniella (90-72)
1991,CIN,Cincinnati Reds,NL West,162,74,88,0,.457,.499,5th of 6,20.0,,689,691,"2,372,377",28.2,27.6,40,17,B.Larkin (6.1),L.Piniella (74-88)
1990,CIN,Cincinnati Reds,NL West,162,91,71,0,.562,.568,1st of 6,--,Won WS (4-0),693,597,"2,400,892",27.5,27.4,40,17,J.Rijo (5.8),L.Piniella (91-71)
2016,CLE,Cleveland Indians,AL Central,161,94,67,0,.584,.563,1st of 5,--,Lost WS (4-3),777,676,"1,591,667",28.9,28.1,48,27,C.Kluber (6.3),T.Francona (94-67)
2015,CLE,Cleveland Indians,AL Central,161,81,80,0,.503,.520,3rd of 5,13.5,,669,640,"1,388,905",28.0,27.3,49,27,F.Lindor (4.6),T.Francona (81-80)
2014,CLE,Cleveland Indians,AL Central,162,85,77,0,.525,.511,3rd of 5,5.0,,669,653,"1,437,393",28.5,27.2,46,22,C.Kluber (8.4),T.Francona (85-77)
2013,CLE,Cleveland Indians,AL Central,162,92,70,0,.568,.554,2nd of 5,1.0,Lost ALWC (1-0),745,662,"1,572,926",28.6,27.5,49,28,J.Kipnis (5.7),T.Francona (92-70)
2012,CLE,Cleveland Indians,AL Central,162,68,94,0,.420,.393,4th of 5,20.0,,667,845,"1,603,596",27.8,27.6,48,24,C.Santana (4.0),M.Acta (65-91) and S.Alomar (3-3)
2011,CLE,Cleveland Indians,AL Central,162,80,82,0,.494,.465,2nd of 5,15.0,,704,760,"1,840,835",27.8,26.7,46,22,A.Cabrera (5.0),M.Acta (80-82)
2010,CLE,Cleveland Indians,AL Central,162,69,93,0,.426,.431,4th of 5,25.0,,646,752,"1,391,644",27.2,26.6,45,22,S.Choo (5.9),M.Acta (69-93)
2009,CLE,Cleveland Indians,AL Central,162,65,97,0,.401,.449,4th of 5,21.5,,773,865,"1,766,242",27.4,27.8,52,29,S.Choo (5.5),E.Wedge (65-97)
2008,CLE,Cleveland Indians,AL Central,162,81,81,0,.500,.526,3rd of 5,7.5,,805,761,"2,169,760",27.7,28.6,49,28,C.Lee (6.7),E.Wedge (81-81)
2007,CLE,Cleveland Indians,AL Central,162,96,66,0,.593,.564,1st of 5,--,Lost ALCS (4-3),811,704,"2,275,912",28.1,29.4,41,21,C.Sabathia (6.4),E.Wedge (96-66)
2006,CLE,Cleveland Indians,AL Central,162,78,84,0,.481,.549,4th of 5,18.0,,870,782,"1,997,995",27.8,28.6,45,23,G.Sizemore (6.6),E.Wedge (78-84)
2005,CLE,Cleveland Indians,AL Central,162,93,69,0,.574,.594,2nd of 5,6.0,,790,642,"2,013,763",27.7,29.2,38,17,G.Sizemore (6.6),E.Wedge (93-69)
2004,CLE,Cleveland Indians,AL Central,162,80,82,0,.494,.501,3rd of 5,12.0,,858,857,"1,814,401",28.6,27.3,52,30,T.Hafner (5.0),E.Wedge (80-82)
2003,CLE,Cleveland Indians,AL Central,162,68,94,0,.420,.451,4th of 5,22.0,,699,778,"1,730,002",27.1,26.3,54,29,M.Bradley (4.1),E.Wedge (68-94)
2002,CLE,Cleveland Indians,AL Central,162,74,88,0,.457,.443,3rd of 5,20.5,,739,837,"2,616,940",30.3,28.1,59,31,J.Thome (7.4),C.Manuel (39-47) and J.Skinner (35-41)
2001,CLE,Cleveland Indians,AL Central,162,91,71,0,.562,.540,1st of 5,--,Lost LDS (3-2),897,821,"3,175,523",31.0,29.1,44,24,R.Alomar (7.3),C.Manuel (91-71)
2000,CLE,Cleveland Indians,AL Central,162,90,72,0,.556,.569,2nd of 5,5.0,,950,816,"3,456,278",30.1,30.2,55,32,R.Alomar (5.6),C.Manuel (90-72)
1999,CLE,Cleveland Indians,AL Central,162,97,65,0,.599,.573,1st of 5,--,Lost LDS (3-2),1009,860,"3,468,456",29.2,30.6,51,25,R.Alomar (7.4),M.Hargrove (97-65)
1998,CLE,Cleveland Indians,AL Central,162,89,73,0,.549,.540,1st of 5,--,Lost ALCS (4-2),850,779,"3,467,299",29.5,29.8,48,23,K.Lofton (5.9),M.Hargrove (89-73)
1997,CLE,Cleveland Indians,AL Central,161,86,75,0,.534,.529,1st of 5,--,Lost WS (4-3),868,815,"3,404,750",30.2,29.7,46,21,J.Thome (5.4),M.Hargrove (86-75)
1996,CLE,Cleveland Indians,AL Central,161,99,62,0,.615,.596,1st of 5,--,Lost LDS (3-1),952,769,"3,318,174",29.7,30.3,44,18,J.Thome (7.5),M.Hargrove (99-62)
1995,CLE,Cleveland Indians,AL Central,144,100,44,0,.694,.644,1st of 5,--,Lost WS (4-2),840,607,"2,842,745",29.0,30.6,41,20,A.Belle (6.9),M.Hargrove (100-44)
1994,CLE,Cleveland Indians,AL Central,113,66,47,0,.584,.586,2nd of 5,1.0,,679,562,"1,995,174",28.4,30.7,40,21,K.Lofton (7.2),M.Hargrove (66-47)
1993,CLE,Cleveland Indians,AL East,162,76,86,0,.469,.487,6th of 7,19.0,,790,813,"2,177,908",27.2,27.3,48,26,K.Lofton (7.6),M.Hargrove (76-86)
1992,CLE,Cleveland Indians,AL East,162,76,86,0,.469,.454,4th of 7,20.0,,674,746,"1,224,094",25.9,27.0,42,20,K.Lofton (6.6),M.Hargrove (76-86)
1991,CLE,Cleveland Indians,AL East,162,57,105,0,.352,.376,7th of 7,34.0,,576,759,"1,051,863",25.6,26.8,53,24,G.Swindell (3.8),J.McNamara (25-52) and M.Hargrove (32-53)
1990,CLE,Cleveland Indians,AL East,162,77,85,0,.475,.497,4th of 7,11.0,,732,737,"1,225,240",27.4,28.1,44,21,B.Jacoby (3.5),J.McNamara (77-85)
2016,COL,Colorado Rockies,NL West,162,75,87,0,.463,.492,3rd of 5,16.0,,845,860,"2,602,524",27.8,27.7,47,25,N.Arenado (6.5),W.Weiss (75-87)
2015,COL,Colorado Rockies,NL West,162,68,94,0,.420,.438,5th of 5,24.0,,737,844,"2,506,789",28.0,28.7,51,30,N.Arenado (5.8),W.Weiss (68-94)
2014,COL,Colorado Rockies,NL West,162,66,96,0,.407,.463,4th of 5,28.0,,755,818,"2,680,329",27.4,28.5,49,26,T.Tulowitzki (5.5),W.Weiss (66-96)
2013,COL,Colorado Rockies,NL West,162,74,88,0,.457,.466,5th of 5,18.0,,706,760,"2,793,828",27.7,28.3,43,23,J.Chacin (5.7),W.Weiss (74-88)
2012,COL,Colorado Rockies,NL West,162,64,98,0,.395,.427,5th of 5,30.0,,758,890,"2,630,458",28.1,28.2,49,27,D.Fowler (2.8),J.Tracy (64-98)
2011,COL,Colorado Rockies,NL West,162,73,89,0,.451,.476,4th of 5,21.0,,735,774,"2,909,777",28.6,27.7,55,29,T.Tulowitzki (6.1),J.Tracy (73-89)
2010,COL,Colorado Rockies,NL West,162,83,79,0,.512,.533,3rd of 5,9.0,,770,717,"2,875,245",28.8,28.1,43,23,U.Jimenez (7.3),J.Tracy (83-79)
2009,COL,Colorado Rockies,NL West,162,92,70,0,.568,.553,2nd of 5,3.0,Lost LDS (3-1),804,715,"2,665,080",27.8,28.5,45,25,T.Tulowitzki (6.5),C.Hurdle (18-28) and J.Tracy (74-42)
2008,COL,Colorado Rockies,NL West,162,74,88,0,.457,.456,3rd of 5,10.0,,747,822,"2,650,218",27.5,28.5,49,26,M.Holliday (5.8),C.Hurdle (74-88)
2007,COL,Colorado Rockies,NL West,163,90,73,0,.552,.558,2nd of 5,0.5,Lost WS (4-0),860,758,"2,376,250",27.9,28.1,53,30,T.Tulowitzki (6.8),C.Hurdle (90-73)
2006,COL,Colorado Rockies,NL West,162,76,86,0,.469,.501,4th of 5,12.0,,813,812,"2,104,362",27.8,28.8,50,24,G.Atkins (4.9),C.Hurdle (76-86)
2005,COL,Colorado Rockies,NL West,162,67,95,0,.414,.431,5th of 5,15.0,,740,862,"1,914,389",27.2,27.3,54,27,T.Helton (4.6),C.Hurdle (67-95)
2004,COL,Colorado Rockies,NL West,162,68,94,0,.420,.453,4th of 5,25.0,,833,923,"2,338,069",30.4,28.8,47,25,T.Helton (8.3),C.Hurdle (68-94)
2003,COL,Colorado Rockies,NL West,162,74,88,0,.457,.480,4th of 5,26.5,,853,892,"2,334,085",29.5,28.0,50,23,T.Helton (6.2),C.Hurdle (74-88)
2002,COL,Colorado Rockies,NL West,162,73,89,0,.451,.435,4th of 5,25.0,,778,898,"2,737,838",28.7,28.5,43,22,T.Helton (6.3),B.Bell (6-16) and C.Hurdle (67-73)
2001,COL,Colorado Rockies,NL West,162,73,89,0,.451,.509,5th of 5,19.0,,923,906,"3,166,821",28.3,28.7,53,26,T.Helton (7.8),B.Bell (73-89)
2000,COL,Colorado Rockies,NL West,162,82,80,0,.506,.535,4th of 5,15.0,,968,897,"3,295,129",29.2,29.9,49,25,T.Helton (8.8),B.Bell (82-80)
1999,COL,Colorado Rockies,NL West,162,72,90,0,.444,.442,5th of 5,28.0,,906,1028,"3,481,065",29.7,28.9,44,18,P.Astacio (6.0),J.Leyland (72-90)
1998,COL,Colorado Rockies,NL West,162,77,85,0,.475,.484,4th of 5,21.0,,826,855,"3,792,683",29.5,27.8,42,19,L.Walker (5.7),D.Baylor (77-85)
1997,COL,Colorado Rockies,NL West,162,83,79,0,.512,.507,3rd of 4,7.0,,923,908,"3,888,453",30.4,27.9,43,23,L.Walker (9.8),D.Baylor (83-79)
1996,COL,Colorado Rockies,NL West,162,83,79,0,.512,.499,3rd of 4,8.0,,961,964,"3,891,014",30.1,28.8,44,21,E.Burks (7.9),D.Baylor (83-79)
1995,COL,Colorado Rockies,NL West,144,77,67,0,.535,.501,2nd of 4,1.0,Lost LDS (3-1),785,783,"3,390,037",29.5,28.6,41,20,L.Walker (4.7),D.Baylor (77-67)
1994,COL,Colorado Rockies,NL West,117,53,64,0,.453,.451,3rd of 4,6.5,,573,638,"3,281,511",29.7,28.0,36,18,M.Freeman (4.6),D.Baylor (53-64)
1993,COL,Colorado Rockies,NL West,162,67,95,0,.414,.390,6th of 7,37.0,,758,967,"4,483,350",27.7,27.1,46,25,A.Galarraga (3.5),D.Baylor (67-95)
